קהל,קהל
סוף,סוף
ערבי,ערבי
יהודים,יהודי
זוב,זב
דם,דם
אנשי,איש
מג"ב,מג"ב
פצוע,פצוע
עזרה,עזרה
אמבולנס,אמבולנס
דלתות,דלת
ידיים,יד
רגליים,רגל
פח,פח
רכב,רכב
שוטר,שוטר
חייל,חייל
מתפרעים,מתפרע
שיווי,שיווי
משקל,משקל
קרקע,קרקע
רחבה,רחבה
בית,בית
עלמין,עלמין
הר,הר
מנוחות,מנוחה
אבנים,אבן
קול,קול
מנכ"ל,מנכ"ל
רמקול,רמקול
קריאות,קריאה
הלווייה,הלוויה
כולנו,כול
איש,איש
מוות,מוות
ערבים,ערבי
שמאלנים,שמאלן
ארון,ארון
מכונית,מכונית
חברה,חברה
דחיפות,דחיפות
צעקות,צעקה
קבר,קבר
קדיש,קדיש
אמן,אמן
מסע,מסע
נקמה,נקמה
כוונת,כוונת
עת,עת
מנהיגים,מנהיג
רצח,רצח
חלקים,חלק
ציבור,ציבור
אורך,אורך
ציר,ציר
תוכניות,תוכנית
ימים,יום
סופר,סופר
ארץ,ארץ
צפון,צפון
יריות,ירייה
שעה,שעה
ערב,ערב
ראש,ראש
עירייה,עירייה
כוחות,כוח
משטרה,משטרה
ראשות,ראשות
מפקד,מפקד
מרחב,מרחב
גליל,גליל
ניצב,ניצב
חקירה,חקירה
סריקות,סריקה
עיר,עיר
יציאות,יציאה
מחסומים,מחסום
תושבים,תושב
סוג,סוג
לוחיות,לוחית
זיהוי,זיהוי
מקום,מקום
ועד,ועד
ראשי,ראש
רשויות,רשות
חשש,חשש
קיצונים,קיצוני
בעלי,בעל
תפקידים,תפקיד
מגזר,מגזר
חברי,חבר
ניסיונות,ניסיון
פגיעה,פגיעה
אדם,אדם
רעולי,רעול
פנים,פנים
מקורות,מקור
חיילי,חייל
תיירת,תייר
אירועי,אירוע
שבוע,שבוע
שטחים,שטח
אורח,אורח
תקריות,תקרית
רצועת,רצועה
רצועה,רצועה
בן,בן
תושב,תושב
חנון,חנון
ירי,ירי
כדורים,כדור
כדורי,כדור
גומי,גומי
פלסטיק,פלסטיק
שאר,שאר
גז,גז
ילדים,ילד
גיל,גיל
נשים,איש
הריון,הריון
נציג,נציג
דובר,דובר
פיקוד,פיקוד
דרום,דרום
עוצר,עוצר
עיירה,עיירה
מקומות,מקום
גורם,גורם
צבא,צבא
התפרצות,התפרצות
התנגשויות,התנגשות
דבר,דבר
פעיל,פעיל
אגף,אגף
חקירות,חקירה
כלא,כלא
כרוז,כרוז
יום,יום
הסלמה,הסלמה
מחנות,מחנה
פליטים,פליט
משטרת,משטרה
מוטות,מוט
ברזל,ברזל
שמשות,שמשה
פנסים,פנס
כלי,כלי
סגן,סגן
נפת,נפה
עיקר,עיקר
מהומות,מהומה
אזור,אזור
פצועים,פצוע
שכונות,שכונה
חאן,ח'אן
שייח,שייח
בקבוקי,בקבוק
תבערה,תבערה
סיורים,סיור
בקבוקים,בקבוק
נפגעים,נפגע
רקע,רקע
חשד,חשד
שיתוף,שיתוף
פעולה,פעולה
שלטונות,שלטון
דקירות,דקירה
סכין,סכין
מחנה,מחנה
אלמונים,אלמוני
חלד,חלד
פי,פה
דיר,דיר
ביה"ח,בי"ח
תל,תל
שומר,שומר
שרות,שרות
בתי,בית
סוהר,סוהר
נסיבות,נסיבה
חקלאי,חקלאי
אב,אב
קרעים,קרע
שמיכה,שמיכה
רופא,רופא
שביתה,שביתה
שנה,שנה
הצהרת,הצהרה
שטחי,שטח
גדה,גדה
אירועים,אירוע
מרכז,מרכז
שוק,שוק
ירקות,ירק
כפר,כפר
טול,טול
כרם,כרם
סכינים,סכין
ד"ר,ד"ר
מצב,מצב
בקבוק,בקבוק
כוח,כוח
משמר,משמר
גבול,גבול
רחבת,רחבה
כנסיית,כנסייה
מולד,מולד
לחם,לחם
נזק,נזק
תוצאה,תוצאה
זריקת,זריקה
אוטובוס,אוטובוס
חלחול,חלחול
שר,שר
ביטחון,ביטחון
ביקור,ביקור
דיווחים,דיווח
התפרעויות,התפרעות
רציפות,רציפות
מפקדי,מפקד
שעתיים,שעה
סקירות,סקירה
אלוף,אלוף
שעות,שעה
בוקר,בוקר
חיילים,חייל
קצין,קצין
יומיים,יום
מלחמה,מלחמה
מרדף,מרדף
צעיר,צעיר
אבן,אבן
אופן,אופן
עין,עין
פגיעת,פגיעה
רימון,רימון
ידי,יד
מיניבוס,מיניבוס
שכונת,שכונה
עזרת,עזרה
זגוגיות,זגוגית
מכוניות,מכונית
חלונות,חלון
בדיקה,בדיקה
מעשה,מעשה
קרב,קרב
סיור,סיור
מהלך,מהלך
ספר,ספר
אש,אש
פעם,פעם
חודש,חודש
הערכת,הערכה
גורמים,גורם
סטודנטים,סטודנט
אוניברסיטת,אוניברסיטה
ביר,בייר
זית,זית
מכות,מכה
יחידה,יחידה
קבוצה,קבוצה
ק"ם,ק"ם
התנחלות,התנחלות
צעירים,צעיר
קבלת,קבלה
טיפול,טיפול
סטודנט,סטודנט
הנדסה,הנדסה
תלמיד,תלמיד
חוג,חוג
מרפאה,מרפאה
תגובה,תגובה
אנשים,איש
מבוקשים,מבוקש
מעצר,מעצר
ביצוע,ביצוע
אישה,איש
בת,בת
תצפית,תצפית
גג,גג
בניין,בניין
אגודת,אגודה
צדקה,צדקה
שכונה,שכונה
ממצאי,ממצא
תחקיר,תחקיר
מפקדת,מפקדה
דברי,דבר
הפגנות,הפגנה
משפט,משפט
מאסר,מאסר
עולם,עולם
חטיפת,חטיפה
בור,בור
ביוב,ביוב
דקדקנות,דקדקנות
משלחת,משלחת
נוער,נוער
מסמך,מסמך
גישה,גישה
תאוצה,תאוצה
קהילה,קהילה
הזדמנות,הזדמנות
חשבון,חשבון
תהליך,תהליך
התנכרות,התנכרות
זמן,זמן
סמלים,סמל
חוויות,חוויה
תשתית,תשתית
ציונות,ציונות
רגש,רגש
מחלוקת,מחלוקת
שאלה,שאלה
קרע,קרע
כתב,כתב
סמל,סמל
הפיכת,הפיכה
תופעה,תופעה
אגפים,אגף
עדות,עדה
מזרח,מזרח
דתיים,דתי
משכילים,משכיל
ניסיון,ניסיון
גוש,גוש
אמונים,אמון
פלגי,פלג
ימין,ימין
בסיס,בסיס
תרבות,תרבות
חוויה,חוויה
רגשות,רגש
הנחה,הנחה
משהו,משהו
סימן,סימן
שמאל,שמאל
דגל,דגל
המנון,המנון
מדינה,מדינה
תכלית,תכלית
התרגשות,התרגשות
תפיסה,תפיסה
תחושה,תחושה
שוביניזם,שוביניזם
מולדת,מולדת
קיטש,קיטש
רשימה,רשימה
כותבים,כותב
פרופסור,פרופסור
צירוף,צירוף
כותרת,כותרת
עיתונות,עיתונות
שימוש,שימוש
עיתונאים,עיתונאי
השתקפות,השתקפות
הוויה,הוויה
שואה,שואה
פער,פער
אופי,אופי
שיקוף,שיקוף
אפלה,אפלה
מציאות,מציאות
גינוי,גינוי
צאצאי,צאצא
קורבנות,קורבן
מאמר,מאמר
פובליציסטיקה,פובליציסטיקה
טקסי,טקס
זיכרון,זיכרון
התייחסות,התייחסות
רדיו,רדיו
טלוויזיה,טלוויזיה
חללי,חלל
יחס,יחס
דברים,דבר
אזכרות,אזכרה
טרור,טרור
כללים,כלל
הגדרה,הגדרה
חיים,חיים
הטפה,הטפה
נוסח,נוסח
סובלנות,סובלנות
דמוקרטיה,דמוקרטיה
קורבן,קורבן
אקט,אקט
תיאורי,תיאור
ביטוי,ביטוי
התנהגות,התנהגות
מסכת,מסכת
כולה,כול
טקס,טקס
מחווה,מחווה
היסטוריון,היסטוריון
הפקת,הפקה
לקחים,לקח
לקח,לקח
עוצמה,עוצמה
